nome,email,cargo,departamento
João Silva,joao@empresa.com,Analista de TI,TI
Maria Souza,maria@empresa.com,Auxiliar RH,RH
Pedro Santos,pedro@empresa.com,Desenvolvedor,TI
Ana Oliveira,ana@empresa.com,Financeiro,Financeiro
Lucas Pereira,lucas@empresa.com,Marketing,Marketing
Fernanda Costa,fernanda@empresa.com,Designer,Design
Ricardo Lima,ricardo@empresa.com,Supervisor de Produção,Produção
Juliana Alves,juliana@empresa.com,Analista Comercial,Comercial
Bruno Martins,bruno@empresa.com,Técnico de Suporte,TI
Carla Rocha,carla@empresa.com,Coordenadora RH,RH
